"pop=17.5" "pop=37.5" "pop=68" "pop=120" "pop=206" "pop=325.5" "pop=459.5" "pop=595" "pop=741" "pop=908" "pop=1179" "pop=4970"
23 30 68 152 230 286 428 637 739 984 1018 5684
21 30 57 149 200 260 405 620 684 951 1228 7748
15 34 76 123 191 265 412 528 764 963 1048 4048
22 36 55 100 216 377 404 546 785 949 1070 2259
11 30 77 136 242 309 426 628 692 845 1079 1361
12 44 83 135 156 313 505 646 793 941 1053 1876
11 40 81 152 245 340 411 539 813 937 1302 2259
13 30 52 97 222 331 425 624 772 884 1136 2177
23 44 69 104 257 378 398 617 788 924 1153 1365
12 29 68 100 244 385 418 564 784 898 1301 1571
25 32 67 145 169 319 464 606 739 849 1169 1953
17 40 58 121 216 380 434 531 702 906 1074 1686
20 26 76 125 168 268 509 615 674 962 1078 1534
18 31 65 135 226 382 411 555 811 906 1006 1587
23 26 58 137 257 367 426 533 760 959 1116 6058
11 34 57 98 191 262 515 615 681 943 1296 8580
15 36 72 131 181 309 418 614 763 862 1165 1363
11 43 62 139 159 391 499 624 816 855 1010 3078
24 49 59 142 199 318 514 615 733 872 1148 4454
18 41 60 133 200 280 396 614 682 913 1357 2425
16 38 63 101 234 321 436 618 786 837 1221 2424
15 40 72 89 206 270 502 580 812 943 1226 2259
17 41 55 112 244 267 413 585 782 905 1102 2268
19 48 65 87 220 370 486 556 694 833 1328 1802
15 40 64 112 155 374 507 655 784 866 1055 2043
25 41 64 122 169 387 513 560 753 959 1271 1901
14 44 77 88 203 374 523 584 708 920 1130 1826
19 39 51 145 197 374 458 664 667 937 1017 1684
18 37 79 125 208 305 425 655 736 822 1009 3392
14 40 58 141 169 265 490 612 769 991 1085 1555
12 42 60 90 229 392 426 562 734 945 1169 2009
19 35 84 112 241 282 498 649 714 835 1222 2822
18 33 82 109 159 288 411 542 715 932 1281 6217
16 50 85 98 251 342 508 611 708 940 1254 3575
15 26 69 103 209 378 450 650 713 863 1108 5142
20 38 64 149 224 304 500 590 697 819 1171 4522
22 48 68 128 169 380 407 582 769 828 1153 5144
23 46 80 113 202 373 526 598 818 962 1018 4861
24 35 70 120 204 389 414 544 671 836 1079 5487
14 46 72 89 258 345 479 545 751 910 1129 3588
11 28 78 128 189 324 503 538 675 931 1282 1483
16 30 67 138 206 281 508 528 713 890 1093 1421
17 44 59 131 240 391 487 644 785 872 1086 1661
12 32 66 91 239 334 410 630 790 942 1216 2088
12 41 75 104 174 381 473 606 669 987 1136 1985
11 30 77 98 188 262 399 580 684 947 1007 1658
14 36 79 131 200 269 458 579 791 838 1148 1388
23 40 54 101 213 347 488 656 667 908 1071 1969
13 40 59 112 208 339 485 564 812 820 1163 1644
21 31 81 91 202 336 457 651 784 919 1248 2130
17 44 56 105 209 358 399 611 751 871 1240 2472
12 41 81 124 223 292 522 639 697 963 1056 1565
18 37 76 137 184 297 493 640 698 850 1109 1759
24 41 51 154 182 294 431 588 799 959 1004 1461
21 44 59 120 164 264 420 552 691 826 1065 1579
18 47 65 145 159 360 510 637 679 856 1043 6612
13 42 78 148 239 370 485 594 758 973 1096 2625
18 30 64 134 178 289 468 609 683 883 1027 3414
21 31 53 127 179 373 488 584 818 866 1093 2693
14 44 59 97 179 277 469 654 707 866 1096 3258
25 44 86 117 197 384 500 562 739 826 1023 1806
20 26 80 93 187 378 432 593 673 964 1174 2466
16 33 80 142 173 278 448 568 773 878 1321 3466
24 40 67 105 233 325 401 567 737 918 1021 2439
13 46 61 112 192 303 463 545 713 864 1027 2443
19 29 70 142 174 288 427 645 793 943 1200 2606
15 34 63 99 176 392 464 545 665 856 1063 3660
25 34 79 108 250 303 420 545 716 988 1145 1707
21 41 85 142 246 300 412 599 702 824 1248 2156
12 26 67 91 241 269 501 551 798 998 1246 1475
14 27 60 152 248 368 397 536 736 920 1182 1561
20 30 62 106 186 345 448 615 804 866 1052 2262
24 36 74 93 235 353 499 618 758 878 1246 1461
18 49 86 121 193 339 450 532 797 878 1224 1734
13 36 62 99 207 327 520 539 715 928 1351 2277
18 28 60 93 218 384 504 619 765 834 1096 2579
22 42 78 110 157 348 401 657 678 943 1023 1377
16 37 57 120 184 392 514 606 690 983 1020 1546
11 31 68 95 169 335 452 630 779 905 1341 1495
23 43 65 113 164 351 439 539 702 938 1177 1704
12 34 62 115 191 366 470 602 743 851 1212 3209
24 48 76 121 159 279 456 640 665 960 1090 1855
19 31 65 97 232 283 483 657 786 849 1076 2113
25 44 68 117 165 276 417 609 759 980 1254 2966
22 29 81 94 176 339 441 645 741 852 1079 2103
25 40 70 109 177 303 480 599 666 962 1322 2633
25 38 69 94 255 341 480 604 731 854 1010 1680
14 32 75 142 189 322 434 630 776 925 1142 1472
24 31 61 121 170 306 485 535 712 856 1159 3019
21 31 62 126 173 323 500 626 697 862 1041 2350
19 32 64 112 230 340 471 572 728 951 1151 1407
25 31 57 133 174 284 394 646 748 857 1235 2330
19 34 68 138 203 393 406 564 792 938 1152 2165
12 37 71 96 235 383 395 663 804 980 1144 2073
16 26 59 148 175 364 472 553 734 868 1052 1929
18 43 51 153 191 381 524 612 729 974 1223 2425
14 29 51 91 245 306 524 640 764 835 1311 2666
11 36 53 141 255 264 495 612 763 869 1198 1689
22 29 67 151 245 369 449 644 745 931 1052 2482
23 47 69 118 253 262 521 564 665 860 1002 1933
21 29 71 112 186 385 428 582 741 829 1332 3690
11 35 82 88 228 291 407 527 676 980 1212 2222
12 43 69 140 192 338 419 596 802 848 1338 3967
16 48 67 114 166 291 459 632 694 866 1071 1379
15 28 63 129 191 363 484 647 775 916 1257 1910
11 27 55 111 183 351 520 544 690 973 1209 1380
23 44 56 104 168 315 450 582 804 927 1095 1577
14 26 65 96 208 301 482 537 683 974 1253 1927
17 47 66 95 211 317 510 637 729 892 1066 1961
23 42 62 122 256 317 515 600 691 984 1210 2404
11 43 53 133 171 298 399 654 795 968 1280 1525
13 31 53 93 177 346 504 639 727 888 1158 2521
11 31 85 148 191 373 488 642 774 900 1127 1517
22 41 78 145 242 266 484 612 813 910 1094 2440
20 38 60 116 228 276 516 588 789 931 1248 2803
11 26 56 115 180 393 492 545 733 963 1277 1479
16 28 63 135 187 304 492 560 761 986 1128 1979
15 33 81 105 239 282 523 629 748 946 1239 2089
25 33 55 98 164 339 500 619 735 938 1293 1738
13 29 64 123 229 301 468 534 797 922 1309 1688
21 27 73 91 250 259 432 593 691 922 1298 2097
16 36 74 142 236 296 462 664 786 849 1237 1699
17 36 76 151 224 295 470 574 778 984 1270 1365
20 28 62 130 195 339 444 631 695 994 1302 1682
12 37 75 89 229 389 425 650 687 861 1119 2538
13 27 78 102 156 296 493 658 720 993 1153 1389
23 39 70 106 196 292 463 561 731 911 1202 1927
13 48 78 97 255 392 516 562 686 905 999 2789
23 37 54 151 158 390 479 564 667 974 1296 1706
25 38 63 138 251 326 520 551 779 827 1066 1484
14 31 52 117 222 261 439 543 710 886 1057 2448
19 28 64 145 219 358 470 642 666 929 1238 1653
13 31 80 105 219 288 467 592 747 975 1266 1660
25 31 85 95 252 379 464 550 691 858 1330 1487
23 41 81 133 173 265 488 591 686 981 1329 1904
24 31 82 99 210 329 477 583 767 981 1233 1773
20 29 75 109 185 319 498 551 810 859 1005 2056
17 43 71 106 247 314 424 546 735 960 1270 2390
12 27 56 108 238 385 394 574 763 853 1049 1801
22 26 74 137 207 274 451 581 815 823 1241 1801
25 37 75 148 229 289 458 554 720 855 1335 2297
14 34 54 116 232 307 481 558 683 960 1100 1406
20 31 64 129 219 340 458 557 716 852 1127 1944
17 27 56 113 221 388 507 638 796 862 1177 2206
25 39 74 106 237 389 425 659 763 853 1268 1814
14 26 71 124 246 327 481 593 715 899 1256 2923
13 29 69 94 190 291 499 618 780 961 1166 1450
21 29 55 140 165 377 443 615 811 888 1071 1436
17 27 81 138 169 279 506 608 737 945 1316 2683
24 44 54 88 176 277 474 630 746 907 1057 2233
18 33 86 131 168 382 453 659 695 866 1225 3389
16 38 85 141 157 304 451 662 744 982 1238 1785
24 40 84 142 255 332 482 544 796 959 1291 1417
25 35 66 127 257 331 402 661 706 952 1134 1372
21 27 58 132 219 356 461 606 710 997 1129 1396
22 42 66 98 159 392 420 553 733 909 1115 1999
17 27 51 121 164 289 461 658 675 966 1005 2905
14 44 53 120 254 353 449 566 731 858 1289 1495
21 31 86 146 250 287 415 593 768 863 1213 1504
20 39 78 131 195 365 492 655 771 819 1153 1684
11 44 62 98 195 361 517 619 801 973 1332 2132
12 42 70 141 203 342 473 619 793 857 1253 1479
19 29 86 147 175 344 470 648 760 903 1348 2070
16 42 79 88 213 297 496 626 697 844 1066 1773
17 48 80 90 210 367 423 609 795 984 1197 2314
19 41 60 128 196 280 443 567 789 946 1193 2048
14 35 62 102 165 307 402 643 738 928 1252 2795
20 34 83 94 222 276 420 663 745 840 1064 2240
20 48 76 90 177 259 415 633 772 842 1062 1722
16 28 69 87 237 299 445 544 675 966 1011 1562
20 32 51 141 189 334 485 648 770 950 1303 1416
14 43 74 102 203 329 446 621 726 993 1050 2303
15 35 86 121 173 386 509 539 698 998 1067 2930
15 31 63 88 232 375 466 572 697 871 1324 2018
13 39 81 107 168 391 494 569 754 824 1253 1977
25 40 63 145 198 386 500 565 669 850 1098 2218
22 26 65 89 243 346 502 571 687 854 1106 1892
22 49 53 119 228 340 463 545 719 948 1183 2004
12 42 59 94 173 260 473 582 783 892 1320 2247
25 32 81 104 219 315 414 630 755 990 1056 2710
11 28 56 127 198 334 401 654 729 864 1128 2190
21 36 66 106 166 384 505 630 813 964 1047 1759
15 30 52 99 166 296 448 634 809 961 1220 1391
11 43 84 102 163 390 469 632 719 947 1213 1401
13 28 60 107 241 390 447 574 764 928 1188 2122
11 39 60 135 171 378 401 584 684 932 1286 2750
21 39 76 115 209 340 433 573 686 868 1068 2001
15 31 54 151 187 354 478 539 696 900 1309 1401
24 29 71 122 251 349 424 558 773 836 1033 2767
25 36 71 102 258 374 507 652 774 934 1176 2267
22 41 62 102 195 391 482 595 695 889 1058 2400
23 45 52 94 192 384 428 663 745 871 1224 2523
24 28 86 144 257 260 490 646 770 893 1080 2444
17 35 73 127 233 259 419 653 678 926 1028 1715
15 42 54 136 191 352 433 548 804 872 1030 1400
25 49 76 87 155 337 496 644 800 952 1081 1534
20 47 74 143 237 344 488 664 759 902 1187 1641
23 47 65 101 181 359 425 660 766 894 1112 1559
12 48 77 137 212 302 398 540 749 907 1062 2090
16 47 51 98 233 313 423 660 666 917 1123 1589
11 41 52 124 223 346 483 624 809 868 1095 1426
12 50 66 97 170 379 470 600 806 837 1175 1646
23 33 83 127 244 261 399 642 687 973 1106 1832
15 29 63 153 161 367 401 654 733 987 1147 1384
14 27 66 135 188 279 432 660 685 985 1068 1552
23 26 51 133 158 353 506 643 793 986 1166 1411
15 49 83 93 189 348 407 583 684 871 1121 1729
15 44 82 107 235 392 423 613 721 896 1186 1744
25 49 75 114 161 294 478 528 707 827 1059 3949
18 39 82 109 226 285 500 619 790 944 1116 1761
13 49 84 87 246 354 449 659 776 945 1202 1855
14 33 66 93 255 283 443 550 676 850 1114 1369
19 50 76 92 206 366 427 579 751 948 1331 1892
13 28 80 117 200 388 525 572 722 860 1322 1641
16 27 77 147 222 278 516 528 734 873 1051 1966
13 31 72 110 212 297 499 589 780 824 1118 1366
13 31 62 144 228 352 512 548 818 877 1036 1600
18 30 81 142 223 288 400 621 813 881 1028 2277
13 34 58 136 249 317 457 567 808 871 1036 1730
18 42 58 115 257 299 499 561 730 885 1324 1477
11 27 72 87 159 265 440 642 788 976 1180 1400
18 41 51 121 163 385 462 542 765 969 1311 1629
11 36 65 136 215 272 492 557 686 987 1136 1430
19 44 55 109 181 381 433 575 770 859 1082 1672
11 44 75 104 175 273 407 562 698 968 1062 1603
21 26 79 131 244 383 476 619 779 882 1029 1430
24 43 64 144 204 296 441 569 703 887 1103 2626
17 37 74 91 163 336 418 620 695 832 1021 1423
19 47 80 101 185 389 414 583 748 869 1235 1666
13 48 71 149 197 386 474 566 814 854 1216 2457
14 34 54 100 185 376 436 659 725 944 1214 2184
22 27 83 136 210 265 473 583 733 822 1047 1871
18 32 81 104 253 324 450 533 723 857 1346 1506
24 35 71 124 223 364 448 559 668 966 1037 2175
16 46 80 87 171 327 417 621 814 975 1162 2175
18 44 56 113 181 278 436 651 682 845 1200 2302
19 44 80 102 183 283 522 569 743 952 1156 1669
18 32 57 101 195 333 453 589 702 840 1091 2613
22 45 79 117 174 317 415 598 739 849 1002 2521
14 38 78 127 253 366 442 589 757 943 1256 1723
11 28 54 96 172 341 432 594 777 821 1166 1446
16 29 69 107 190 354 468 608 711 877 1093 2850
16 28 64 109 240 287 518 577 807 887 1125 1914
11 36 76 130 258 367 441 528 763 988 1036 1529
18 34 64 121 181 370 521 645 790 875 1244 1448
20 27 58 88 251 336 416 601 760 993 1303 1605
19 30 57 109 235 279 437 664 757 833 999 1773
17 34 79 93 234 379 476 657 789 823 1329 1809
19 29 53 154 203 353 431 564 755 891 1301 1640
12 35 73 105 254 318 435 659 740 857 1281 3972
20 39 53 133 224 363 509 632 818 899 1023 2031
13 47 73 103 221 377 525 631 706 979 1125 1698
11 37 55 131 184 358 457 643 755 986 1083 1522
20 39 56 103 229 280 418 528 697 829 1082 1371
22 31 62 135 257 290 469 570 742 974 1322 1397
11 33 53 115 198 268 522 587 758 918 1089 1697
11 50 82 131 169 297 418 599 756 916 1059 1979
19 26 58 150 191 262 505 654 770 940 1202 1602
14 46 80 102 166 328 483 600 767 944 1202 1788
17 36 67 148 258 316 434 576 676 869 1017 2338
22 45 77 121 228 335 462 594 816 850 1352 3142
20 33 79 145 226 331 447 628 779 963 1252 3695
14 38 67 154 166 350 464 582 788 993 1138 3149
13 50 51 127 165 391 419 633 742 831 1042 2572
12 28 77 141 166 349 464 557 673 914 1237 2679
12 47 77 112 166 390 456 558 755 900 1183 1848
11 28 52 109 175 277 423 624 672 884 1116 1370
18 30 70 109 185 267 489 598 733 920 1248 1396
14 48 65 93 239 327 413 616 796 934 1336 1431
15 33 81 108 255 262 524 649 690 892 1266 1667
15 49 54 111 229 284 498 595 738 913 1106 2225
17 33 53 134 223 263 407 625 792 996 1159 1625
12 36 59 125 246 276 509 578 700 958 1190 1980
14 32 55 99 183 332 422 639 745 990 1043 2116
24 43 65 136 168 259 468 533 799 886 1114 1613
21 47 56 139 204 374 434 570 709 829 1110 1595
13 27 55 126 228 385 444 582 814 871 1316 1504
15 29 65 87 205 310 422 633 674 998 1219 2688
18 31 72 119 181 382 435 609 731 838 1179 2754
14 34 84 146 159 323 416 541 795 960 1121 2575
11 29 84 138 186 323 435 606 774 827 1150 4286
18 39 54 144 194 330 408 657 765 884 1079 3387
13 30 51 150 251 302 446 620 733 925 1335 3987
16 27 70 143 172 325 445 605 676 891 1357 3673
11 37 54 149 243 286 464 554 710 966 1312 4138
14 27 55 116 193 357 397 655 760 938 1134 2653
16 29 66 146 195 325 479 656 705 820 1360 2210
19 38 59 110 235 348 423 659 681 943 1167 1572
17 41 82 105 171 360 516 625 813 967 1106 2169
19 27 68 112 250 361 403 649 711 916 1010 3454
12 29 83 153 179 389 507 621 757 843 1051 1928
15 30 80 142 256 339 417 544 800 956 1167 1853
15 43 78 113 155 368 463 608 706 950 1351 1740
14 26 67 111 167 279 421 569 675 923 1203 1793
13 49 61 135 255 270 460 575 791 829 1148 2003
12 34 52 89 158 278 522 549 676 963 1283 1690
24 48 65 101 169 271 433 651 799 869 1218 1897
12 43 71 124 231 272 501 615 673 884 1028 2577
14 26 84 95 193 325 399 612 722 938 1271 3505
20 45 56 97 198 386 459 652 732 907 1049 2916
16 50 79 113 222 343 485 618 734 901 1033 3086
13 41 56 94 247 343 497 631 795 938 1336 4650
12 48 51 140 193 325 431 581 816 923 1360 4198
11 50 75 90 169 338 448 565 790 981 1168 3129
20 37 57 120 178 389 440 616 677 875 1050 2719
23 31 71 139 241 295 525 581 677 915 1197 1992
11 32 63 129 212 313 508 585 719 852 1332 2107
15 42 62 144 159 308 404 586 685 935 1054 1575
15 45 83 137 162 364 508 588 708 841 1172 1660
22 39 72 92 182 370 525 532 769 881 1021 2457
16 50 55 116 222 334 471 535 702 941 1213 3504
20 43 58 107 168 280 520 603 715 899 1346 3437
12 34 64 90 200 390 434 575 757 888 1017 1711
17 29 80 101 225 374 451 655 680 917 1285 2248
17 49 81 137 230 271 488 607 818 953 1213 1910
15 43 62 106 222 338 501 637 711 966 1229 2496
21 41 66 87 233 370 456 619 783 932 1119 1946
15 50 54 127 159 346 517 577 765 889 1095 2127
14 49 51 95 237 284 490 646 754 984 1035 3845
18 44 60 100 187 325 468 592 743 994 1037 4105
17 44 66 138 167 262 493 534 762 889 1359 3436
20 32 75 92 184 285 500 652 743 867 1004 4048
11 42 79 97 211 373 491 628 816 848 1198 1702
19 36 85 89 173 376 400 644 681 994 1059 2061
16 44 57 93 225 275 451 570 680 842 1191 3304
15 30 76 151 208 357 474 532 723 946 1348 2265
13 36 61 95 167 276 457 651 788 874 1251 2109
13 35 81 120 188 327 505 559 733 836 1213 3585
12 36 83 154 203 315 498 551 804 858 1259 4562
19 34 85 94 229 294 424 543 698 880 1015 1663
23 33 61 138 210 281 522 654 755 985 1050 2248
14 36 69 120 157 360 469 529 710 996 1125 2109
14 35 74 111 234 316 408 632 732 974 1198 1396
12 38 63 139 188 308 449 588 706 910 1332 1406
16 40 77 110 220 288 425 616 806 888 1032 2198
11 40 63 118 191 379 403 577 714 932 1345 1993
11 43 83 153 179 276 400 596 727 975 1099 1446
25 42 77 149 164 262 416 621 738 873 1143 1399
11 38 65 137 237 305 494 659 710 928 1197 2541
13 50 82 139 235 305 467 661 752 914 1200 3043
14 36 66 126 223 319 516 631 692 983 1142 3297
12 44 51 153 219 307 515 597 736 855 1212 1667
19 35 83 97 189 358 465 535 715 945 1284 1653
24 50 80 93 216 316 414 632 770 997 1321 2225
12 30 59 120 198 374 406 541 758 883 1345 3892
20 37 63 133 179 361 505 579 692 878 1305 3171
11 26 77 145 161 295 503 578 780 877 1213 1716
12 26 58 122 164 381 474 651 793 957 1252 2229
18 41 80 127 183 281 403 568 774 918 1230 1830
14 42 79 116 165 296 402 557 720 865 1105 2350
12 40 82 150 252 323 520 607 702 852 1178 1389
11 27 53 124 157 346 483 572 673 885 1306 3232
25 41 63 141 168 337 470 601 723 864 1360 1818
16 47 62 126 251 300 480 533 671 871 1121 2730
18 34 65 151 192 363 497 550 719 918 1146 1735
25 33 72 91 222 298 479 543 801 819 1150 1619
21 47 58 99 190 296 405 547 671 875 1197 1682
16 36 81 102 239 342 497 531 688 833 1358 2207
19 38 69 121 172 271 444 576 699 825 1213 4458
19 31 61 126 187 289 446 533 787 865 1251 3174
18 42 63 138 189 268 403 543 686 869 1302 1577
16 48 81 145 208 330 523 647 771 875 1033 2081
14 45 76 139 234 306 461 548 694 840 1156 2409
17 45 53 136 214 319 472 530 765 942 1015 2012
21 36 53 135 167 264 526 629 754 853 1057 3257
15 27 86 143 159 297 510 552 806 921 999 2250
11 35 62 129 225 260 472 632 774 890 1059 2368
15 48 77 104 239 372 448 592 768 870 1012 2729
15 47 69 97 168 375 403 638 691 963 1317 1866
14 30 76 88 232 343 515 606 672 821 1127 2090
15 41 80 88 220 363 399 565 803 889 1102 3281
24 49 76 125 208 321 503 601 703 912 1131 4059
14 44 80 90 192 351 499 617 746 925 1293 1379
12 41 86 123 223 274 516 612 774 850 1109 1948
12 38 77 123 186 306 438 598 748 952 1266 2381
20 40 73 144 179 300 466 586 699 982 1284 2168
23 45 67 111 169 306 460 565 706 983 1008 2964
16 39 78 114 246 283 489 594 716 836 1018 3726
23 26 64 110 199 264 454 650 802 967 1295 3910
11 36 85 145 172 391 511 602 714 982 1252 2496
11 46 84 154 168 278 397 543 698 954 1242 2347
23 31 69 142 234 313 493 631 685 961 1084 4629
24 29 71 145 158 320 514 550 747 922 1286 3828
12 34 52 142 172 351 524 622 738 898 1351 5104
14 35 52 127 171 349 436 531 725 894 1243 1427
15 32 70 115 172 264 405 529 730 947 1016 4815
16 28 71 113 200 360 427 591 788 838 1170 2664
14 32 52 108 156 324 415 540 818 893 1321 1455
20 28 71 150 173 264 418 656 740 850 1180 3129
11 39 86 126 220 268 394 567 725 916 1019 3625
23 31 83 116 205 335 438 532 715 842 1084 3973
14 40 59 147 156 277 496 609 797 889 1126 3850
16 37 72 128 197 391 410 605 718 924 1194 3900
14 NA 86 118 173 364 443 617 675 855 1195 5038
20 NA 53 88 198 292 487 536 750 918 1308 2512
11 NA 77 109 159 388 403 663 745 825 1040 1730
12 NA 70 134 191 327 435 591 760 984 1064 3269
14 NA 60 97 160 344 410 566 743 889 1155 5322
23 NA 67 109 193 282 478 610 690 850 1100 2342
21 NA NA 147 175 267 399 621 791 NA 1004 2163
13 NA NA 105 199 351 500 592 694 NA 1197 1901
17 NA NA NA 193 348 500 633 682 NA 1091 3426
11 NA NA NA 232 264 477 529 675 NA 1064 2645
24 NA NA NA NA NA NA 604 793 NA 1234 2734
20 NA NA NA NA NA NA 634 NA NA 1354 NA
16 NA NA NA NA NA NA 606 NA NA 1019 NA
11 NA NA NA NA NA NA 664 NA NA NA NA
15 NA NA NA NA NA NA 528 NA NA NA NA
21 NA NA NA NA NA NA 648 NA NA NA NA
16 NA NA NA NA NA NA 527 NA NA NA NA
23 NA NA NA NA NA NA 590 NA NA NA NA
16 NA NA NA NA NA NA 576 NA NA NA NA
16 NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA
17 NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA
20 NA NA NA NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA NA NA NA
19 NA NA NA NA NA NA NA NA NA NA NA
13 NA NA NA NA NA NA NA NA NA NA NA
19 NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA
13 NA NA NA NA NA NA NA NA NA NA NA
18 NA NA NA NA NA NA NA NA NA NA NA
23 NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA
25 NA NA NA NA NA NA NA NA NA NA NA
14 NA NA NA NA NA NA NA NA NA NA NA
17 NA NA NA NA NA NA NA NA NA NA NA
