"pop=13" "pop=20" "pop=29" "pop=40.5" "pop=55" "pop=72" "pop=94.5" "pop=124.5" "pop=161" "pop=208" "pop=264.5" "pop=328.04" "pop=392.04" "pop=455" "pop=521.5" "pop=587.72" "pop=653.72" "pop=723.06" "pop=798.06" "pop=877.5" "pop=968.32" "pop=1088.82" "pop=1269.16" "pop=1618.24" "pop=5218.58"
11 19 30 38 52 80 100 120 150 191 262 355 376 442 555 562 649 729 822 843 943 1138 1321 1388 2156
15 19 34 36 49 73 97 112 161 216 252 301 387 451 499 620 650 730 798 888 943 1069 1361 1384 2262
11 23 30 41 58 65 104 141 151 222 292 297 405 458 514 617 674 694 831 866 959 1110 1200 1467 2277
16 18 25 35 48 79 100 123 149 216 238 355 407 440 502 564 644 696 826 913 920 1083 1248 1474 2579
15 17 30 43 52 67 98 136 148 226 275 310 373 428 507 606 630 729 764 861 937 1090 1246 1548 3209
15 23 29 43 58 73 101 135 152 191 265 333 382 426 513 615 656 739 835 911 991 1118 1182 1560 2113
14 21 32 39 54 68 86 121 149 199 267 332 405 425 523 615 651 692 785 860 945 1040 1246 1532 2966
14 22 26 41 59 76 89 125 156 200 292 307 412 464 490 614 681 739 793 908 1003 1137 1224 1488 2103
12 23 31 47 53 77 87 135 169 234 242 308 404 434 498 615 639 702 813 869 1005 1127 1351 1421 2633
16 17 26 36 56 81 85 137 152 206 245 327 377 426 529 614 640 733 772 844 932 1130 1341 1730 3019
15 20 34 44 62 69 88 131 168 220 257 309 378 436 508 618 637 694 788 898 940 1027 1177 1392 2350
14 18 25 40 52 68 90 139 145 203 244 313 385 486 500 580 680 753 784 845 1017 1101 1212 1491 2330
11 23 33 44 49 67 98 133 181 197 266 340 380 458 526 585 680 708 820 884 1007 1053 1254 1406 2165
16 24 26 40 54 76 103 112 159 208 286 331 382 425 503 556 681 736 811 898 962 1069 1322 1595 2073
12 18 28 36 61 65 86 112 155 229 257 319 411 426 528 560 654 734 760 849 931 1053 1235 1519 1929
12 17 30 43 51 72 89 122 169 209 260 309 367 450 546 584 645 714 763 906 942 1038 1223 1800 2425
11 19 32 41 51 72 91 125 142 224 265 318 398 479 539 612 672 715 816 906 987 1075 1311 1567 2666
14 19 30 38 48 65 104 141 169 202 244 321 391 487 508 562 678 708 786 862 947 1100 1198 1650 2482
13 18 31 40 56 64 98 112 159 204 268 305 418 473 531 611 657 713 812 855 1013 1040 1361 1538 1933
12 19 25 41 55 64 101 109 169 189 241 342 370 458 555 590 630 697 782 872 1011 1045 1332 1504 3690
13 18 30 40 50 77 91 128 145 206 262 304 374 488 533 582 640 751 784 913 919 1029 1212 1829 2222
14 20 31 41 51 79 105 113 174 188 251 345 411 485 522 598 657 713 834 905 963 1074 1338 1397 3967
16 22 26 44 48 69 97 120 149 200 280 324 387 457 493 606 681 751 769 866 959 1027 1257 1532 1910
13 23 33 39 52 64 93 128 164 213 270 334 374 431 510 580 645 697 837 863 973 1141 1209 1728 1927
15 24 29 37 57 68 105 138 159 208 267 347 374 485 500 579 673 698 769 910 964 1048 1253 1820 1961
12 17 34 40 52 80 82 131 178 202 258 339 418 468 542 564 630 691 834 890 943 1070 1210 1530 2404
14 23 34 42 55 70 99 131 179 209 265 336 392 488 501 611 677 758 818 872 988 1079 1280 1630 2521
13 21 26 35 57 72 108 112 179 223 240 358 396 469 499 588 626 707 785 838 1018 1053 1248 1621 2440
16 17 27 38 55 78 91 124 154 184 239 297 413 432 520 594 646 739 790 908 998 1136 1277 1685 2803
11 18 30 46 52 67 106 137 173 182 282 360 378 448 504 609 663 737 823 871 920 1153 1239 1481 1979
12 24 25 35 58 66 93 120 145 197 288 325 380 463 514 584 640 713 791 850 928 1074 1293 1407 2089
14 21 28 46 58 75 99 134 148 187 281 303 373 427 544 562 671 716 812 856 943 1078 1309 1417 2097
12 18 31 44 57 77 93 127 174 233 262 303 389 464 545 593 684 702 784 883 983 1116 1298 1456 2538
16 18 34 41 62 79 95 117 176 192 269 300 391 448 538 568 644 736 837 866 938 1148 1237 1773 1927
14 21 31 36 59 81 85 112 142 186 239 345 381 450 528 567 632 758 799 866 960 1102 1270 1551 2789
11 20 29 40 60 81 97 121 142 235 292 353 411 452 552 599 647 715 818 878 980 1055 1302 1837 2448
11 24 32 40 63 76 94 110 142 193 294 339 407 439 500 615 674 690 830 918 962 1130 1202 1488 1904
12 19 31 44 55 65 94 120 152 207 264 327 414 470 524 618 681 702 773 864 925 1085 1296 1697 2056
16 21 31 41 51 78 96 113 157 218 289 348 370 456 524 619 682 743 793 856 951 1108 1379 1487 2390
15 20 32 37 58 64 91 115 169 184 277 335 373 483 495 606 637 759 798 866 938 1153 1238 1549 2297
11 24 31 41 49 80 88 121 164 191 278 351 410 441 545 602 654 741 804 878 980 1079 1266 1636 1944
14 18 34 44 60 80 85 117 159 232 288 339 384 480 521 609 639 731 797 878 974 1129 1330 1411 2206
11 18 25 47 48 67 82 109 165 189 269 303 378 480 545 599 642 712 765 905 1006 1093 1329 1593 2923
13 22 26 42 59 70 104 121 176 230 250 341 399 434 545 604 667 697 779 851 931 1086 1233 1730 2683
11 23 25 44 54 79 96 126 177 203 246 322 392 485 551 572 629 728 837 849 1010 1136 1371 1436 2233
11 24 25 44 59 67 95 112 142 235 241 306 399 471 536 564 664 748 786 852 980 1148 1270 1456 3389
16 19 29 40 56 74 93 133 148 191 248 323 368 472 532 612 631 734 833 854 973 1071 1241 1551 1999
15 22 29 46 51 78 86 138 153 186 279 340 420 449 539 612 650 729 822 856 927 1056 1335 1599 2905
13 24 25 41 59 68 85 141 170 228 283 306 401 428 539 564 658 745 835 862 974 1109 1177 1538 2132
16 21 29 36 53 65 105 118 173 192 276 338 384 459 520 582 671 741 776 857 984 1065 1268 1636 2070
12 19 28 36 59 76 98 112 151 191 284 351 420 484 510 596 642 694 819 868 968 1043 1256 1525 2314
13 19 27 42 61 65 84 140 174 183 264 315 392 450 515 582 675 690 828 869 931 1096 1166 1571 2048
13 18 26 37 48 68 91 114 175 208 262 301 412 482 504 600 669 729 836 860 963 1027 1316 1686 2795
14 22 31 43 63 81 89 129 166 211 291 317 397 488 516 612 684 691 792 848 986 1093 1225 1534 2240
13 23 31 44 60 70 102 111 168 191 291 317 366 484 492 588 667 727 804 866 946 1096 1238 1587 2303
12 21 26 40 62 69 106 122 171 228 255 298 401 468 535 560 679 733 764 916 938 1023 1291 1802 2930
14 23 28 38 62 75 97 133 177 187 266 346 417 432 492 619 683 748 820 892 922 1021 1289 1826 2018
14 17 33 37 60 64 86 116 180 229 276 304 393 462 523 593 638 735 763 888 922 1027 1213 1684 1977
13 23 33 43 57 68 86 115 148 224 282 339 383 470 500 574 659 691 826 900 1017 1063 1332 1555 2218
16 22 25 36 62 71 105 135 145 195 245 301 364 444 553 561 673 695 802 910 1009 1145 1253 1483 1892
14 20 29 47 61 67 95 123 164 229 255 296 381 425 493 562 630 720 826 849 984 1052 1348 1421 2004
11 21 27 35 62 69 99 130 142 196 245 295 394 463 516 564 659 731 775 861 994 1096 1197 1661 2247
12 17 28 43 57 71 83 138 151 222 253 339 406 479 520 592 662 710 804 911 993 1023 1193 1658 2710
16 20 27 44 48 69 106 117 151 219 259 296 395 439 498 591 661 747 795 905 974 1020 1252 1388 2190
14 23 31 47 59 67 108 133 156 219 292 326 369 470 527 583 665 691 824 886 1018 1090 1303 1644 2122
16 23 28 42 51 65 86 109 158 210 256 358 385 467 544 574 658 735 774 858 929 1076 1374 1565 2750
14 19 31 43 51 66 106 137 145 185 261 329 363 464 537 581 678 720 813 859 975 1079 1324 1759 2001
15 23 31 41 53 78 94 116 173 207 288 319 407 488 507 558 655 716 789 853 981 1142 1253 1461 2767
15 24 31 38 63 81 88 129 148 229 242 314 419 477 499 557 665 715 834 855 981 1159 1183 1579 2267
13 20 29 36 55 64 84 113 165 232 265 307 399 424 506 593 666 737 761 852 960 1041 1320 1806 2400
12 17 27 36 56 73 98 124 142 219 239 340 373 451 545 618 648 746 797 862 1007 1151 1220 1707 2523
11 22 26 37 62 74 98 140 169 221 274 327 393 458 492 615 626 695 786 853 960 1152 1213 1475 2444
15 20 25 39 53 76 88 138 176 190 289 304 394 481 534 608 643 744 778 899 961 1144 1188 1561 2090
11 17 34 37 53 75 90 131 168 219 250 332 389 458 517 606 663 706 835 888 945 1052 1286 1461 3949
13 21 31 38 60 78 102 141 157 195 236 331 392 425 496 566 633 710 829 907 1004 1052 1309 1734 1892
11 17 27 41 56 70 86 127 146 195 291 356 402 481 551 593 648 733 779 866 982 1071 1176 1546 1966
15 24 25 43 63 78 94 132 147 203 279 353 390 443 543 619 621 731 767 909 959 1095 1224 1495 2277
15 18 26 37 55 64 90 121 159 213 255 361 420 474 509 619 665 697 810 858 952 1066 1187 1704 2626
12 24 29 39 62 80 87 120 164 210 277 342 415 453 494 609 676 738 763 863 997 1158 1175 1855 2457
16 21 29 44 54 81 102 131 145 196 251 344 379 451 500 567 630 745 815 857 966 1127 1166 1680 2184
11 22 25 38 63 75 88 141 175 222 252 297 402 482 502 572 683 726 796 903 973 1094 1186 1472 1871
12 17 27 40 52 71 83 128 165 189 289 307 420 461 550 569 654 698 763 844 984 1128 1202 1407 2175
15 21 25 35 56 74 107 141 177 203 287 299 415 461 505 565 630 697 780 840 946 1119 1331 1689 2175
14 20 33 42 54 75 83 121 173 232 247 334 385 449 551 571 634 754 827 842 928 1153 1322 1380 2302
15 19 27 44 56 64 89 119 168 198 238 329 388 473 546 582 632 719 811 871 966 1066 1324 1577 2613
15 17 27 39 48 74 82 127 173 228 280 346 389 470 554 574 687 755 796 850 950 1057 1180 1525 2521
13 19 31 44 55 71 82 135 151 219 276 340 414 423 507 584 652 729 823 854 993 1049 1311 1517 2850
14 20 25 42 54 69 84 115 144 198 259 315 401 443 490 573 663 719 768 892 998 1100 1235 1479 1914
13 20 29 42 48 81 94 122 143 209 237 334 377 445 496 558 646 696 771 864 948 1127 1216 1738 3972
16 20 34 41 58 66 104 127 166 187 246 296 401 485 544 595 653 695 801 868 990 1071 1214 1688 2031
13 22 28 35 51 66 106 136 153 195 260 340 382 446 506 600 686 745 793 900 964 1057 1346 1699 1979
13 22 32 43 53 78 99 137 166 192 255 354 392 466 553 583 644 759 760 889 961 1134 1162 1682 2338
13 21 31 35 62 70 102 124 163 233 257 349 419 463 500 613 664 749 795 871 947 1129 1200 1389 3142
11 21 26 39 60 79 107 127 171 191 260 352 398 473 525 619 667 733 789 893 928 1115 1256 1706 3695
11 24 32 40 62 80 102 135 147 212 259 337 365 448 516 579 660 721 819 872 932 1153 1166 1484 3149
11 22 28 42 51 76 102 133 144 233 254 344 399 469 499 572 666 707 772 902 1010 1066 1244 1653 2572
13 23 30 36 63 69 94 114 142 223 250 359 401 447 512 589 686 751 770 894 934 1064 1377 1660 2679
14 24 28 43 49 74 87 109 155 188 261 302 367 433 499 567 660 722 824 907 926 1062 1303 1487 2225
16 17 31 39 63 81 101 117 181 189 279 313 407 478 544 561 683 734 783 917 952 1050 1329 1773 1980
14 20 29 39 53 65 98 110 170 235 294 346 386 424 539 557 624 730 813 868 1002 1067 1301 1801 2116
11 23 28 36 59 81 97 136 161 226 285 353 375 482 545 575 642 698 809 871 973 1098 1281 1801 2688
16 23 25 41 56 66 93 115 144 206 237 348 391 428 492 562 654 703 836 896 987 1106 1361 1406 2754
16 23 25 45 52 76 107 121 158 200 283 354 386 433 539 619 660 695 764 850 985 1056 1365 1814 2575
11 18 33 35 60 71 87 136 161 222 243 297 384 488 522 569 643 748 773 860 986 1128 1322 1450 4286
12 19 25 42 60 71 93 109 149 212 278 352 390 425 548 620 659 725 774 873 944 1047 1202 1436 3387
13 18 29 47 54 73 92 131 159 228 288 317 390 423 540 583 621 733 770 877 945 1068 1202 1785 3987
11 18 27 47 62 76 87 136 163 223 265 299 378 483 518 566 675 723 804 881 948 1033 1363 1417 3673
11 18 26 47 52 74 83 124 181 215 272 296 400 470 521 583 642 743 837 871 999 1058 1352 1396 4138
11 19 33 41 54 65 104 113 175 204 241 336 374 432 528 559 675 702 800 885 976 1080 1252 1495 2653
14 21 28 44 51 77 91 117 154 185 273 324 391 423 550 569 669 739 827 859 969 1028 1237 1504 2210
14 24 27 39 49 66 101 127 163 197 251 327 384 478 528 589 659 757 766 882 987 1030 1183 1684 2169
13 17 31 42 52 66 100 109 171 185 258 333 407 449 548 598 687 711 809 887 1005 1081 1248 1479 3454
12 19 31 41 48 75 104 130 181 210 265 317 418 443 542 589 621 757 824 869 968 1112 1336 1773 1928
12 22 30 36 63 66 87 121 174 223 257 341 414 427 509 594 651 755 806 854 944 1062 1266 1722 2003
11 18 25 44 51 76 102 109 172 183 278 354 379 457 525 608 684 740 793 857 1005 1123 1377 1562 1897
14 24 34 44 50 80 101 133 150 195 283 336 367 440 533 577 686 706 790 845 966 1095 1190 1416 2577
15 18 27 43 62 77 96 131 181 190 237 353 417 462 522 601 645 755 776 840 1011 1106 1316 1759 3505
15 19 26 37 49 72 107 135 148 235 244 318 392 433 505 564 664 697 780 849 975 1147 1219 1391 2916
12 18 34 47 58 81 88 115 145 234 287 358 415 476 528 570 657 742 818 877 952 1068 1179 1401 3086
14 22 27 35 58 72 93 131 154 203 279 297 366 441 528 587 678 758 813 887 943 1121 1379 1401 4650
13 18 32 46 49 65 105 121 169 224 246 328 416 474 489 599 659 756 832 875 988 1059 1335 1715 4198
15 20 32 44 51 75 103 127 166 221 255 316 388 436 524 600 632 742 808 891 993 1116 1357 1400 3129
14 19 25 44 49 79 103 141 166 184 280 335 385 473 498 576 631 755 822 857 979 1114 1312 1534 2719
11 17 28 45 55 64 82 112 165 229 290 331 381 450 509 594 643 733 788 899 986 1051 1360 1641 1992
13 19 29 38 50 74 102 109 166 198 268 350 383 448 533 582 666 690 765 918 974 1118 1365 1559 2107
16 20 28 36 48 80 93 109 166 191 249 349 418 436 541 557 654 738 770 916 940 1036 1167 1589 2457
11 20 34 35 54 71 108 111 175 228 262 327 389 453 554 558 687 700 821 869 944 1028 1167 1426 3504
14 22 27 39 56 81 99 134 168 226 257 332 386 442 516 598 685 745 779 850 963 1036 1351 1646 3437
16 19 30 47 57 71 87 125 181 185 244 310 376 432 507 616 684 709 814 914 993 1136 1203 1832 2248
12 17 34 37 54 80 84 136 159 229 253 323 418 468 544 595 628 731 833 900 920 1082 1283 1384 1910
15 22 29 39 58 80 84 139 146 223 253 323 364 441 549 578 633 733 823 884 934 1062 1218 1552 2496
15 20 31 46 50 79 105 126 144 183 277 330 366 437 522 570 676 710 814 892 996 1029 1372 1411 1946
14 18 33 36 57 78 89 119 150 204 267 302 419 476 501 582 624 705 829 913 958 1103 1271 1729 2127
13 17 26 45 53 69 101 138 143 228 262 325 367 431 497 609 649 711 777 886 990 1021 1336 1744 3845
12 24 33 38 53 64 95 116 149 205 284 357 370 435 525 606 625 757 807 871 998 1047 1360 1761 4105
12 21 28 47 55 76 82 110 146 186 240 325 413 457 508 620 639 706 763 838 960 1037 1168 1855 3436
14 18 28 36 56 64 97 112 172 194 263 348 379 469 508 605 686 722 790 884 925 1156 1197 1641 4048
16 18 30 43 62 79 94 113 153 193 258 360 363 483 525 608 633 732 831 891 1002 1091 1332 1600 2061
13 19 33 47 53 73 90 111 142 195 276 361 407 434 520 569 668 734 760 916 966 1093 1172 1730 3304
12 17 33 39 58 73 83 135 171 235 259 339 377 462 501 575 682 719 789 843 938 1125 1213 1477 2265
11 19 32 37 50 80 92 124 179 231 251 325 422 447 532 615 657 708 829 869 943 1036 1346 1400 2109
11 24 27 38 51 67 107 113 155 193 254 343 422 464 517 612 655 702 818 884 967 1023 1285 1629 3585
15 20 29 41 52 77 90 140 167 198 286 343 416 464 535 618 656 715 827 907 999 1125 1213 1430 4562
15 20 31 43 54 79 84 120 158 222 257 325 408 456 490 581 659 757 770 901 956 1083 1229 1672 2248
16 23 34 43 53 67 101 139 169 193 258 338 391 423 493 565 625 711 767 875 950 1082 1369 1603 2109
12 22 29 45 59 77 106 129 144 212 279 295 397 468 500 616 649 754 816 915 923 1089 1359 1430 2198
15 20 30 41 48 77 87 137 169 182 270 313 390 434 491 581 621 743 779 852 963 1059 1198 1423 1993
15 17 27 37 55 70 95 116 178 222 278 308 403 444 505 585 676 743 788 841 1017 1138 1366 1666 2541
14 17 27 42 56 65 100 137 159 200 271 334 417 435 498 586 673 723 796 881 938 1042 1191 1506 3043
11 21 29 45 49 81 83 127 162 225 239 338 374 435 522 588 651 733 820 899 938 1116 1348 1669 3297
16 18 27 39 55 65 92 138 168 230 272 346 421 446 534 603 652 698 792 888 923 1106 1251 1723 2225
15 17 29 43 54 65 97 120 159 222 255 325 385 445 494 575 672 755 799 917 981 1159 1213 1446 3892
13 20 30 43 51 72 89 138 151 233 246 357 399 464 532 607 631 710 829 889 935 1043 1259 1529 3171
13 19 26 41 54 70 93 120 167 187 251 327 382 479 551 619 674 732 814 889 941 1114 1198 1448 2229
12 19 25 44 55 66 95 111 173 184 280 315 404 423 543 577 676 706 795 867 953 1110 1332 1605 2350
14 23 34 44 59 68 94 139 154 211 243 360 389 463 516 592 681 714 774 848 966 1121 1345 1773 3232
14 19 26 42 61 80 85 110 167 225 250 316 368 460 515 570 655 727 765 842 1010 1150 1197 1809 2730
12 24 31 36 52 78 83 118 153 208 256 308 386 433 529 559 637 738 760 874 932 1079 1200 1640 2207
16 20 32 44 56 67 85 137 149 188 255 305 400 459 505 588 675 710 813 858 984 1134 1212 1698 4458
11 18 25 36 56 65 83 139 157 203 271 305 389 485 503 616 646 752 800 880 994 1106 1284 1522 3174
11 18 34 35 51 71 82 126 153 229 284 319 364 431 520 577 676 692 791 910 994 1051 1321 1397 2081
11 21 29 36 49 79 83 120 179 210 262 307 370 448 535 596 652 736 799 888 946 1148 1345 1697 2409
13 19 25 36 57 75 97 133 164 234 285 358 390 440 541 597 673 715 795 873 1017 1028 1305 1602 2012
14 19 32 35 63 71 93 122 145 188 247 316 408 471 497 579 628 758 816 914 985 1049 1213 1788 3257
12 18 30 38 62 72 82 127 179 220 275 361 374 434 497 578 644 692 790 855 996 1033 1252 1848 2250
12 17 34 40 48 64 91 116 161 191 241 295 403 451 523 568 651 720 836 883 1004 1050 1230 1396 2368
11 21 33 40 50 80 99 124 164 235 276 296 370 488 526 557 677 702 769 878 974 1054 1178 1431 2729
12 24 30 43 48 81 102 141 150 223 294 323 400 456 510 607 654 723 818 877 932 1021 1306 1667 1866
14 20 26 42 50 66 86 126 165 219 281 346 416 468 533 572 677 719 783 918 975 1119 1360 1625 2090
12 23 26 38 55 66 104 121 157 189 288 337 373 451 550 601 632 688 765 865 1015 1095 1371 1613 3281
11 23 27 36 58 75 97 126 168 216 276 300 376 474 543 576 621 699 762 852 928 1035 1370 1595 4059
16 23 34 44 62 79 88 138 151 198 237 298 414 457 547 592 659 694 816 885 983 1037 1197 1504 1948
16 24 33 35 50 76 88 139 172 183 262 296 406 424 531 606 661 754 788 864 945 1059 1358 1572 2381
16 20 31 37 54 81 86 136 167 192 281 342 379 469 515 565 685 691 804 871 997 1050 1213 1853 2168
14 23 27 41 51 69 90 135 159 222 237 330 403 449 503 601 631 703 806 918 957 1125 1251 1740 2964
15 20 30 42 49 74 85 129 168 190 252 306 402 425 533 617 680 746 770 875 942 1032 1302 1793 3726
11 23 26 40 60 77 84 125 145 187 251 319 405 467 543 612 632 748 780 865 921 1099 1317 1690 3910
15 21 25 41 50 77 108 123 143 189 271 297 403 465 499 598 651 699 793 869 1015 1143 1293 1575 2496
15 17 31 47 49 65 86 123 179 208 289 343 374 474 516 586 681 706 774 875 999 1142 1266 1660 2347
14 24 29 47 57 66 83 111 169 234 268 321 403 483 489 565 680 716 801 840 1012 1105 1284 1711 4629
15 20 34 36 61 80 86 114 172 214 239 351 381 470 548 594 647 714 787 853 963 1121 1295 1702 3828
14 21 32 38 61 77 88 110 168 225 264 306 399 480 530 602 629 698 771 890 925 1146 1252 1663 5104
12 23 25 42 63 80 97 127 158 232 260 300 363 479 552 591 673 747 765 870 1008 1150 1242 1396 4815
12 17 28 45 63 79 105 115 172 220 239 306 397 444 511 567 632 738 819 889 1018 1033 1286 1406 2664
16 20 32 45 51 65 NA 113 171 208 274 313 405 446 493 609 671 725 833 912 952 1156 1351 1446 3129
11 19 25 36 59 72 NA 126 144 192 283 320 372 461 514 605 671 730 825 850 982 1057 1243 1399 3625
11 19 28 35 63 81 NA 116 172 223 264 351 375 472 524 617 638 740 806 898 983 1059 1170 1667 3973
12 18 31 47 58 69 NA 128 156 186 246 349 415 472 543 591 686 725 774 894 967 1127 1321 1653 3850
14 23 NA 41 50 81 NA 118 145 199 278 360 363 448 550 566 650 715 768 838 982 1102 1379 1716 3900
15 17 NA 44 53 76 NA 109 154 234 264 324 418 438 531 610 672 718 803 893 954 1131 1180 1830 5038
16 NA NA 41 63 77 NA 134 142 200 264 335 394 466 529 592 631 750 774 850 961 1109 1194 1389 2512
14 NA NA 38 50 69 NA 109 173 220 268 327 410 460 496 604 622 745 821 916 922 1084 1195 1818 3269
11 NA NA 40 62 76 NA NA 145 205 277 344 391 454 540 606 685 743 802 842 947 1019 1308 1735 5322
14 NA NA 45 58 80 NA NA 156 197 292 351 403 436 532 590 656 690 836 889 1016 1084 1197 1619 2342
16 NA NA 39 61 76 NA NA 173 198 282 348 410 427 536 576 663 694 788 855 924 1126 1234 1682 2163
14 NA NA 36 63 80 NA NA 142 191 267 NA 391 438 529 NA 621 NA 818 918 984 1040 1354 1577 1901
11 NA NA 46 53 77 NA NA 150 193 264 NA 399 443 500 NA 633 NA 797 889 1004 1064 NA 1427 3426
12 NA NA 35 53 73 NA NA 147 199 NA NA 364 487 528 NA 675 NA 825 850 NA 1155 NA 1455 2645
14 NA NA 39 62 67 NA NA 159 193 NA NA 388 435 500 NA 634 NA 760 NA NA 1100 NA 1730 2734
13 NA NA 40 48 78 NA NA 160 232 NA NA NA 478 527 NA 682 NA 791 NA NA 1091 NA NA NA
11 NA NA 37 48 64 NA NA 175 NA NA NA NA 477 NA NA 675 NA 793 NA NA 1064 NA NA NA
16 NA NA NA 52 69 NA NA 147 NA NA NA NA NA NA NA 664 NA NA NA NA 1019 NA NA NA
11 NA NA NA 52 71 NA NA NA NA NA NA NA NA NA NA 648 NA NA NA NA NA NA NA NA
15 NA NA NA 49 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA NA 52 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA NA 59 71 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
16 NA NA NA 53 72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA 60 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA 70 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA 67 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
