"pop=11.5" "pop=14.5" "pop=18" "pop=22" "pop=26.5" "pop=31.5" "pop=37" "pop=43.5" "pop=51" "pop=59" "pop=67" "pop=76" "pop=87" "pop=100.5" "pop=115.5" "pop=132" "pop=150.5" "pop=170.5" "pop=194" "pop=221" "pop=248.5" "pop=278" "pop=311" "pop=345.04" "pop=377.54" "pop=407.5" "pop=439" "pop=472" "pop=504.84" "pop=538.34" "pop=571.5" "pop=604.22" "pop=636.400000000001" "pop=669.68" "pop=706" "pop=742.06" "pop=778.06" "pop=817" "pop=856" "pop=896.5" "pop=940.860000000001" "pop=991.18" "pop=1048.6" "pop=1118.78" "pop=1205.7" "pop=1315.86" "pop=1469.66" "pop=1708.58" "pop=2127.2" "pop=5488.62"
13 16 17 24 26 31 35 41 48 59 68 73 87 98 117 138 143 169 191 229 261 292 301 354 382 397 448 481 505 541 557 615 646 657 717 729 775 817 857 909 951 1003 1031 1137 1226 1351 1417 1820 2259 2966
13 15 17 23 28 30 36 43 55 56 69 80 85 106 109 141 152 168 191 229 247 275 325 354 377 417 428 469 509 551 582 614 638 657 703 730 764 825 855 910 963 1005 1053 1127 1169 1341 1552 1630 2268 2633
12 14 19 23 25 31 35 43 54 62 64 73 88 106 123 136 142 181 199 212 262 265 323 332 378 411 443 468 515 551 571 618 652 681 699 729 764 802 843 897 949 1017 1037 1130 1222 1254 1384 1621 2043 3019
11 16 19 23 29 33 36 41 53 61 69 79 90 97 109 135 143 169 200 223 239 267 301 329 385 396 442 473 499 531 583 612 632 673 720 739 785 827 866 903 941 1007 1050 1101 1171 1322 1538 1685 1901 2425
13 15 18 21 29 34 37 47 50 56 64 73 86 98 114 125 152 169 206 216 238 292 297 355 380 421 451 458 514 555 585 611 635 677 716 739 793 803 861 889 937 987 1078 1100 1216 1311 1418 1773 2009 2666
11 16 17 23 29 34 35 44 52 57 67 76 89 94 119 135 145 169 203 222 244 266 310 355 382 407 440 464 502 523 559 590 633 663 723 733 772 822 860 888 924 1013 1033 1141 1163 1361 1388 1837 2088 2482
12 14 17 23 28 30 36 44 55 57 65 77 91 94 120 137 157 174 197 230 256 286 307 333 367 408 428 486 507 529 569 598 652 671 709 753 788 798 869 913 962 1011 1032 1079 1248 1332 1492 1697 1985 3690
12 14 20 21 28 31 38 43 54 58 67 81 91 96 112 131 146 164 202 216 262 265 308 332 391 399 426 458 513 526 588 606 634 684 694 736 784 831 844 911 959 973 1041 1136 1240 1338 1417 1636 1969 3967
12 14 18 22 26 34 36 41 52 58 68 76 93 105 123 139 150 178 204 222 252 268 327 340 370 419 425 479 490 528 580 611 633 674 696 734 760 826 845 908 943 964 1025 1153 1174 1257 1484 1593 2130 2404
13 16 18 23 29 31 35 41 52 57 69 72 82 100 121 133 151 179 189 216 238 280 309 331 374 403 434 487 498 546 578 594 628 681 692 751 763 835 849 898 943 988 1052 1116 1200 1253 1546 1730 2156 2521
13 14 17 23 29 32 39 41 49 62 68 72 91 97 112 125 149 179 206 226 242 270 313 342 387 405 426 473 508 539 573 609 646 682 702 751 786 813 862 884 959 1018 1069 1148 1248 1280 1464 1599 2262 2440
12 16 19 24 28 31 36 44 48 59 67 77 93 104 112 141 148 173 188 234 245 267 319 345 374 407 436 458 500 531 575 593 637 654 694 758 782 820 855 898 920 998 1075 1102 1246 1277 1460 1636 2277 2803
13 14 19 22 29 31 40 42 52 60 65 79 93 100 122 128 152 174 200 220 257 265 309 334 374 405 425 488 503 555 566 599 628 667 708 739 784 811 872 906 937 983 1069 1130 1182 1293 1487 1571 2113 2538
11 16 18 23 28 32 40 46 54 63 65 80 85 98 112 128 149 176 202 208 244 282 318 347 392 412 426 485 508 533 562 615 646 664 714 737 769 816 866 906 945 980 1040 1085 1246 1309 1473 1686 2103 2789
12 14 19 24 29 31 36 46 53 58 64 72 91 101 109 138 156 169 184 229 257 288 321 339 378 404 450 457 493 522 564 618 624 658 715 736 769 812 863 913 932 980 1027 1108 1224 1298 1388 1587 2350 2448
12 15 18 23 29 34 38 44 52 60 64 78 88 98 113 131 152 164 182 209 260 281 305 336 380 411 431 485 510 542 580 619 624 671 708 758 785 834 872 905 940 974 1053 1153 1177 1270 1384 1802 2330 2923
13 15 20 21 28 31 40 41 49 59 69 75 85 103 120 131 145 165 197 224 244 269 304 358 373 398 432 468 500 544 585 606 649 675 713 743 790 837 838 910 962 1006 1069 1079 1212 1302 1467 1826 2165 2683
12 15 17 24 27 31 40 44 54 59 64 77 82 104 112 124 159 176 187 213 241 292 324 360 389 418 448 488 501 545 556 602 650 669 697 759 791 834 871 890 931 1010 1053 1129 1235 1296 1474 1684 2073 3389
11 15 17 21 25 33 39 41 51 56 68 79 93 98 120 137 155 177 192 208 262 294 297 345 391 411 427 469 499 538 560 609 644 684 713 741 784 818 850 908 942 980 1038 1093 1223 1379 1548 1661 1929 2905
13 15 18 21 29 33 37 41 51 59 70 81 86 101 117 134 142 170 186 209 251 264 325 353 381 418 448 463 520 528 584 599 630 667 697 731 773 823 856 883 947 973 1075 1086 1198 1266 1560 1658 1933 2795
12 16 18 24 26 31 40 44 48 59 67 81 85 105 112 127 159 173 193 223 258 289 303 339 370 396 450 464 504 552 562 604 651 679 698 728 793 812 866 878 919 974 1040 1136 1212 1330 1532 1644 2222 2930
11 15 18 21 26 31 35 47 55 61 66 76 84 97 121 126 145 174 207 233 240 277 303 348 373 413 452 470 514 524 582 612 639 683 691 748 797 837 866 918 963 984 1045 1148 1209 1329 1488 1565 1910 2710
12 14 20 24 25 31 38 42 50 63 65 78 91 105 110 133 149 175 184 235 239 278 300 335 384 411 439 483 500 524 580 612 640 659 707 734 765 799 864 878 959 968 1029 1109 1210 1371 1421 1759 1927 2750
11 15 19 22 26 31 35 44 51 60 64 80 89 99 120 138 159 166 191 218 262 288 327 351 378 407 456 480 495 545 579 596 637 673 713 729 779 818 856 878 943 986 1074 1096 1248 1270 1392 1579 1961 2767
13 15 20 23 28 34 36 44 48 62 67 80 86 108 113 141 154 168 189 232 239 269 303 339 392 414 441 480 521 545 564 600 645 659 716 745 786 830 866 905 920 1017 1027 1093 1239 1335 1491 1806 1979 2400
12 14 18 24 25 31 40 46 52 62 70 79 86 106 115 140 145 171 203 230 250 279 322 341 368 410 434 485 520 545 588 612 630 662 702 741 776 798 851 916 928 1009 1048 1096 1237 1268 1406 1707 2089 2523
11 16 18 22 26 33 40 41 52 60 67 74 83 99 121 129 148 177 191 235 246 283 306 340 384 399 449 471 510 551 584 619 640 661 715 729 792 804 849 892 943 984 1070 1145 1202 1256 1519 1561 2097 2444
11 14 19 24 29 31 37 42 55 57 68 78 86 95 117 133 142 180 186 228 241 276 323 338 392 399 428 472 515 536 562 593 645 665 690 727 764 837 852 888 938 994 1053 1096 1238 1316 1538 1734 1927 3949
12 16 19 21 26 34 40 43 55 62 65 76 88 97 109 135 142 164 192 208 248 284 306 351 366 420 450 459 504 532 568 592 630 658 702 733 763 833 854 900 960 993 1074 1090 1233 1291 1504 1704 1904 2626
11 14 19 22 27 32 36 44 52 61 65 81 84 94 121 130 142 173 191 211 262 264 315 346 393 401 432 484 516 539 567 591 626 678 712 748 775 822 856 910 962 974 1078 1079 1241 1289 1397 1855 2056 2457
12 16 18 23 25 31 36 43 55 62 68 75 88 94 112 138 152 165 183 228 255 291 301 339 383 420 444 482 492 539 572 593 646 655 697 735 795 835 862 911 925 1018 1055 1142 1177 1332 1532 1680 2390 2613
12 16 17 21 28 32 37 47 51 57 70 78 90 96 118 133 157 169 191 229 245 291 317 339 364 412 425 488 492 535 564 618 640 665 694 731 774 819 857 905 951 975 1071 1159 1166 1253 1530 1689 2297 2521
11 14 20 23 29 30 40 43 49 59 69 81 86 104 112 137 159 176 187 224 255 266 317 358 381 397 439 484 500 523 564 615 644 666 690 747 789 828 868 886 938 981 1056 1151 1225 1348 1481 1577 1944 2850
13 14 17 23 25 31 38 44 48 63 64 73 90 96 114 129 142 168 195 229 245 276 298 329 369 401 424 468 493 553 582 608 632 663 691 735 761 836 869 899 931 981 1065 1152 1238 1303 1407 1738 2206 3972
12 14 20 22 26 33 37 47 54 56 68 74 87 95 111 124 148 164 196 222 253 282 304 340 385 417 451 462 516 527 582 606 647 665 691 737 797 804 860 888 927 1007 1043 1144 1213 1374 1417 1688 2233 3142
13 15 19 21 25 33 36 42 51 62 71 76 88 105 122 140 153 175 185 219 259 292 301 332 363 394 425 470 520 544 588 593 637 676 695 746 786 820 848 907 931 1004 1027 1095 1197 1324 1456 1699 1999 3695
13 15 20 23 25 31 35 43 53 60 67 75 83 98 116 138 151 165 207 219 256 288 296 331 373 406 443 463 498 537 560 619 639 683 720 744 778 826 866 909 963 982 1023 1158 1193 1253 1551 1682 2132 3149
12 14 17 23 29 31 38 41 48 56 69 78 83 102 115 131 148 177 190 210 261 265 295 356 393 395 453 479 507 545 574 619 642 654 710 733 779 802 849 903 946 997 1021 1127 1252 1320 1488 1706 2070 2572
13 15 20 23 29 30 36 41 48 63 71 78 89 106 123 141 145 173 195 229 242 274 296 353 389 407 451 470 499 534 561 609 629 687 691 731 767 826 861 892 938 966 1027 1094 1183 1286 1487 1653 2314 2679
11 14 17 24 25 34 36 43 51 62 69 80 82 97 117 127 142 168 195 232 239 289 326 361 392 419 449 467 506 551 562 595 631 663 720 738 763 804 858 900 922 973 1063 1128 1220 1309 1549 1660 2048 2688
12 16 17 22 29 34 37 44 51 63 67 81 82 105 109 132 151 173 203 219 250 291 319 342 390 399 423 464 492 543 564 600 650 653 716 745 796 824 859 889 922 984 1052 1119 1213 1331 1411 1773 2240 2754
12 14 18 21 28 32 39 42 53 56 65 75 84 95 116 131 151 166 196 221 236 279 314 344 379 394 443 488 517 550 583 613 642 686 715 726 763 813 853 893 929 966 1023 1153 1188 1322 1436 1801 2303 2575
11 16 17 24 27 32 37 44 55 56 66 74 87 99 113 141 156 166 189 219 255 277 307 334 385 402 445 477 496 551 574 619 638 664 695 754 780 834 855 902 960 993 1020 1100 1176 1324 1456 1801 2018 4286
11 15 20 24 26 34 38 44 53 58 64 75 93 106 121 128 158 163 203 213 251 289 327 329 388 420 446 458 509 546 581 589 630 667 706 755 796 835 852 894 960 998 1076 1127 1224 1311 1551 1814 1977 3387
12 15 19 21 26 30 37 42 53 62 70 74 87 108 120 141 145 171 198 210 252 287 304 346 389 415 448 481 494 554 558 619 648 660 710 729 768 829 862 907 961 990 1041 1134 1187 1346 1538 1785 2218 3987
11 14 17 22 28 34 39 42 55 60 64 81 93 106 121 127 148 181 198 222 247 280 297 340 377 402 447 458 500 544 557 620 626 666 697 745 771 810 853 917 945 964 1052 1129 1175 1256 1525 1684 1892 3673
11 14 19 21 25 31 38 41 54 62 71 78 92 94 119 135 142 170 187 232 238 276 307 334 382 420 433 481 502 553 566 589 643 686 698 759 793 815 866 896 959 1010 1052 1115 1166 1377 1534 1773 2004 4138
13 16 20 22 29 33 40 43 52 63 64 79 87 98 115 127 157 161 195 228 259 279 299 340 392 415 424 474 505 525 567 598 633 660 697 749 760 827 858 877 952 1002 1071 1153 1186 1303 1555 1722 2247 2653
11 15 20 22 27 33 35 42 54 63 71 80 83 98 122 136 146 161 192 219 237 294 315 354 365 414 428 482 507 544 572 589 648 683 719 733 795 811 863 881 946 973 1066 1098 1202 1329 1483 1562 2190 3454
11 15 20 21 28 30 39 43 48 59 69 76 91 102 114 137 147 163 191 209 246 285 296 349 367 401 433 461 490 539 569 594 621 654 719 751 789 823 857 885 928 987 1066 1106 1180 1301 1421 1759 2122 2577
13 16 17 21 27 33 35 41 55 56 66 74 87 94 109 124 159 181 188 233 260 283 302 352 386 401 425 461 496 545 565 608 630 660 696 734 772 801 844 882 950 985 1057 1128 1235 1281 1388 1715 2001 3505
12 15 20 24 28 33 35 45 54 60 66 81 88 102 117 127 145 175 189 212 255 278 313 337 375 419 423 473 506 539 571 601 630 659 695 730 770 819 840 887 948 986 1049 1080 1216 1361 1461 1641 2267 2916
13 15 18 22 29 32 39 42 48 60 70 81 93 107 110 135 151 163 206 233 257 288 297 344 391 398 432 470 500 522 582 599 634 675 721 748 783 824 842 877 961 999 1071 1081 1214 1365 1475 1589 2090 3086
13 14 19 23 27 31 40 47 51 62 69 76 82 94 115 133 144 171 200 223 260 265 317 359 386 399 423 485 516 548 574 600 632 675 707 733 764 813 871 887 947 976 1057 1112 1162 1322 1461 1646 1892 4650
13 16 18 24 26 34 36 47 53 63 65 73 93 104 121 136 143 181 204 235 259 272 299 346 384 401 449 466 499 540 584 594 652 669 722 743 773 809 850 891 928 969 1066 1123 1200 1363 1546 1832 1966 4198
12 15 18 23 25 30 39 47 51 62 66 76 87 106 109 136 153 174 185 226 254 273 296 353 390 407 443 463 512 528 573 598 646 659 698 739 774 836 854 899 932 987 1064 1095 1166 1352 1495 1729 2277 3129
13 14 18 23 27 30 39 41 49 58 71 74 84 99 113 131 147 172 197 222 250 265 324 348 390 400 427 473 499 550 558 616 644 687 703 757 770 804 864 918 934 1005 1062 1106 1244 1336 1472 1744 2184 2719
11 14 19 23 25 34 36 44 53 58 71 77 84 102 117 136 144 181 185 212 261 278 327 354 378 407 440 469 492 528 583 595 624 684 695 757 766 837 868 916 926 968 1050 1147 1202 1266 1407 1761 1871 2457
12 16 17 21 26 31 35 42 52 56 65 75 89 107 109 124 142 169 183 228 237 283 317 352 374 418 433 478 518 548 579 609 642 686 725 755 793 800 871 914 952 1005 1067 1121 1202 1377 1380 1855 2175 3504
13 14 19 24 29 32 39 41 54 57 66 76 82 102 121 127 155 166 195 223 243 287 318 336 391 414 441 482 521 542 572 606 643 664 723 740 790 827 872 900 944 966 1056 1116 1252 1316 1525 1641 2175 3437
12 14 18 22 29 34 36 44 52 58 66 80 90 102 109 130 144 166 190 215 241 279 297 333 384 417 436 488 509 525 567 620 621 657 702 755 776 809 868 884 945 1011 1047 1114 1237 1379 1517 1600 2302 2496
11 16 18 24 25 32 37 44 54 57 66 77 83 94 115 133 158 165 203 210 251 280 328 341 379 415 450 483 505 533 561 605 642 678 711 742 780 824 871 892 948 975 1068 1118 1183 1335 1479 1730 1914 3845
11 16 19 22 27 30 35 43 51 56 65 72 92 101 121 131 149 166 184 223 258 290 316 354 367 416 448 470 489 522 557 608 621 659 706 758 788 806 850 913 944 988 1033 1136 1248 1357 1389 1629 2031 4105
13 16 18 22 25 34 38 47 49 62 64 81 90 98 112 135 159 166 198 235 257 268 327 336 392 418 436 478 498 528 575 615 651 666 697 756 765 818 860 886 952 993 1058 1082 1190 1312 1484 1672 1979 3436
11 14 18 22 27 33 36 46 52 58 71 72 84 97 109 131 154 175 191 234 237 277 310 353 366 418 453 457 509 528 562 612 645 654 690 742 770 813 873 884 943 979 1028 1103 1219 1360 1487 1603 2338 4048
12 15 20 24 27 30 35 44 48 59 71 75 87 107 109 127 150 168 185 224 244 267 323 358 388 419 442 462 516 524 569 618 632 687 700 755 779 832 871 891 940 986 1030 1156 1179 1365 1406 1666 2225 3304
11 15 19 21 25 34 39 44 51 56 69 79 83 104 111 141 148 181 183 221 246 284 323 335 385 413 432 476 507 533 583 616 631 685 709 733 777 808 859 916 944 974 1062 1091 1167 1351 1450 1669 1980 3585
12 15 17 24 29 33 37 45 50 59 64 74 92 101 119 134 145 172 204 229 255 263 302 331 381 407 441 474 501 541 566 603 643 684 710 738 763 822 869 884 963 993 1068 1093 1167 1283 1436 1723 2116 4562
13 14 19 23 28 31 39 47 49 61 64 80 89 100 116 125 154 171 205 228 249 276 325 350 383 422 437 473 497 554 583 607 628 676 705 745 790 821 854 907 920 996 1059 1125 1203 1372 1417 1605 2210 2541
13 15 20 22 26 30 36 46 49 56 67 81 93 104 110 136 159 179 186 226 262 286 325 349 389 422 431 468 508 544 559 619 633 686 711 731 760 814 857 901 934 990 1051 1125 1218 1271 1396 1773 2169 3043
13 14 20 21 28 31 38 45 51 56 67 80 85 102 112 139 146 167 194 229 257 279 325 332 386 416 435 476 508 549 569 592 624 668 706 733 789 833 845 915 958 998 1036 1083 1168 1336 1495 1809 1928 3297
13 16 19 23 28 34 36 47 49 57 70 80 83 101 113 126 144 169 193 223 244 270 325 330 376 408 434 457 520 522 577 616 649 682 722 757 770 823 840 881 960 1002 1028 1082 1197 1360 1504 1640 2003 3892
13 14 17 24 29 32 39 43 55 63 65 79 85 96 111 138 150 169 195 228 253 278 295 357 364 397 447 469 501 525 564 596 625 657 719 732 767 814 849 899 925 966 1036 1089 1172 1332 1479 1698 1897 3171
11 15 20 21 28 32 37 47 50 62 65 78 83 107 113 135 143 178 193 235 253 271 313 348 366 403 456 483 517 525 570 597 639 655 708 734 779 829 875 888 938 967 1062 1138 1213 1346 1416 1697 1992 3232
11 16 18 21 25 31 38 41 48 58 65 76 82 105 120 124 149 162 198 231 262 272 308 360 367 417 423 462 490 532 587 607 633 656 702 757 788 807 857 917 943 999 1029 1116 1213 1285 1391 1602 2107 2730
11 14 17 24 25 NA 37 43 54 62 70 79 83 103 116 140 146 168 193 222 240 280 325 361 370 421 434 464 493 535 576 601 625 659 715 754 796 831 869 889 956 1017 1021 1106 1229 1369 1401 1788 2248 4458
13 14 18 23 25 NA 39 43 54 60 66 73 93 103 120 139 153 167 182 212 258 271 327 339 379 399 444 464 500 522 582 592 649 676 711 743 792 829 850 889 950 981 1047 1159 1198 1359 1401 1848 1910 3174
11 16 18 23 29 NA 36 45 50 57 68 73 82 102 120 129 142 173 200 222 259 284 315 343 363 404 435 468 491 534 557 606 621 673 723 743 795 818 871 880 923 966 1037 1114 1191 1366 1400 1667 1946 2409
11 14 19 23 27 NA 36 41 53 61 67 80 91 108 111 137 155 167 187 225 251 285 316 343 377 400 435 464 505 532 558 601 651 672 698 733 774 827 838 910 963 1010 1036 1110 1251 1348 1534 1625 2127 3257
12 14 17 24 26 NA 35 42 53 61 65 77 86 99 110 137 158 179 184 230 254 275 308 338 391 408 446 479 498 551 578 617 652 674 710 755 765 816 843 888 938 984 1023 1121 1213 1259 1559 1613 2061 2729
13 16 19 23 28 NA 36 45 55 63 71 79 88 105 118 127 144 164 188 222 257 276 305 334 390 403 445 463 494 543 570 612 631 676 706 732 760 820 869 914 938 994 1059 1150 1198 1332 1426 1595 2265 3281
11 15 20 23 27 NA 36 43 53 63 71 77 88 101 120 138 159 179 203 233 258 294 305 338 374 400 423 460 516 529 582 598 637 681 714 727 791 799 875 883 923 994 1042 1079 1197 1345 1384 1572 2109 4059
11 16 20 21 25 NA 35 43 50 59 64 77 86 95 122 138 159 161 188 211 239 281 319 346 385 416 433 459 515 535 569 594 646 655 710 738 795 829 852 878 935 1017 1043 1134 1200 1284 1552 1853 2248 2964
11 16 20 24 27 NA 38 41 51 63 66 81 90 97 116 139 151 164 191 225 255 288 307 357 382 414 431 485 505 541 575 602 652 675 692 752 790 814 841 877 941 985 1051 1106 1212 1321 1411 1740 2109 3726
13 16 17 21 26 NA 40 44 52 58 66 72 85 94 121 137 154 165 189 208 246 276 316 360 389 406 448 471 503 523 581 591 628 676 715 736 769 813 867 918 953 996 1028 1148 1213 1345 1477 1793 2198 3910
12 15 17 23 27 NA 40 44 54 63 69 80 84 107 123 139 153 168 198 229 251 281 295 358 368 403 440 488 520 526 565 609 644 673 692 758 783 800 848 885 932 1004 1049 1119 1252 1305 1400 1690 1993 2496
12 15 18 23 25 NA 38 42 53 62 65 78 86 101 123 126 149 172 183 210 243 271 296 361 386 402 434 468 497 533 581 605 651 677 720 754 765 799 842 918 946 974 1033 1095 1230 1306 1430 1575 2225 4629
11 15 17 NA 28 NA 36 44 48 58 66 79 83 106 111 133 157 167 192 234 250 289 323 346 389 405 451 474 497 550 585 617 632 654 702 746 762 816 874 890 932 975 1050 1125 1178 1360 1430 1660 2229 3828
12 15 20 NA 29 NA 35 43 55 61 65 75 86 95 114 127 153 168 190 220 256 268 300 337 364 403 456 457 510 543 586 591 621 677 723 748 788 836 858 889 928 1015 1054 1099 1197 1371 1423 1711 2350 5104
13 15 19 NA 28 NA 37 42 49 63 69 72 88 100 110 124 145 179 187 235 255 264 298 342 370 403 451 469 515 547 588 610 631 659 719 747 770 818 873 912 945 983 1021 1143 1213 1370 1506 1702 2207 4815
11 14 19 NA 27 NA 40 44 55 62 69 80 NA 97 115 141 150 169 189 223 262 274 296 330 390 399 424 467 503 531 575 592 632 661 688 738 780 816 855 898 957 997 1035 1142 1251 1358 1446 1663 2081 2664
13 NA 19 NA 29 NA 36 41 54 59 67 81 NA 95 113 126 157 172 192 219 247 283 306 343 374 397 449 465 499 533 577 604 651 685 699 730 793 804 865 894 942 1015 1037 1105 1252 1302 1529 1667 2012 3129
11 NA 20 NA 26 NA 38 42 51 60 64 75 NA 94 116 126 151 168 186 216 241 264 319 351 370 405 425 474 516 543 570 606 647 680 694 740 774 806 852 893 921 999 1059 1121 1242 1317 1448 1653 2250 3625
12 NA 18 NA 28 NA 36 41 54 NA 69 79 NA 97 118 138 159 172 199 222 237 278 297 351 373 415 444 483 489 548 559 590 629 681 691 750 787 801 864 916 963 1012 1050 1146 1243 1293 1522 1716 2368 3973
13 NA 18 NA 28 NA 35 47 55 NA 71 76 NA 99 109 139 145 171 200 208 262 264 321 349 376 418 446 470 511 530 588 NA 632 680 703 745 771 819 871 889 925 1008 1032 1150 1170 1266 1397 1830 1866 3850
12 NA 19 NA 27 NA 38 47 52 NA 70 81 NA 102 109 136 143 172 205 234 237 264 306 360 379 394 448 480 493 552 577 NA 638 673 699 743 765 833 875 918 952 1018 1033 1156 1180 1284 1396 1818 2090 3900
12 NA 19 NA 29 NA 40 42 51 NA 71 74 NA 104 NA 135 158 173 197 214 252 268 300 335 374 410 438 479 514 524 579 NA 650 671 706 NA 774 825 865 889 954 982 1057 1127 1194 1295 1431 1735 1948 5038
13 NA 18 NA 29 NA 39 45 49 NA 71 77 NA 97 NA 129 144 173 198 225 251 277 306 344 381 403 454 461 496 543 578 NA 631 671 716 NA 768 806 869 NA 961 983 1059 1102 1195 1286 1504 1619 2381 2512
12 NA 17 NA 27 NA 36 45 48 NA 70 77 NA 108 NA 125 156 175 191 232 239 292 313 351 363 410 436 472 500 550 568 NA 622 686 714 NA 774 803 875 NA 922 967 1019 1131 1197 1351 1396 1682 2168 3269
11 NA 20 NA 27 NA 35 47 50 NA 67 80 NA 97 NA 127 145 NA 193 220 260 282 320 348 372 399 427 472 500 531 557 NA 621 672 698 NA 788 821 840 NA 947 982 1040 1109 1234 1321 1406 1577 2347 5322
11 NA 20 NA 29 NA 39 41 48 NA NA 77 NA 105 NA 126 154 NA 199 208 239 267 324 NA 375 NA 438 466 NA 529 572 NA 633 685 725 NA 797 802 853 NA 924 1016 1064 1084 NA 1379 1446 1730 2342 3426
12 NA 20 NA 27 NA 40 44 50 NA NA 80 NA NA NA 128 142 NA 193 223 246 264 327 NA 363 NA 443 460 NA 540 576 NA 634 656 725 NA 760 836 870 NA NA 984 1064 1084 NA 1308 1399 NA 2163 2645
11 NA 17 NA 29 NA 37 41 55 NA NA 79 NA NA NA 134 145 NA NA 234 NA NA NA NA 391 NA 435 487 NA 532 565 NA 648 663 715 NA 791 818 850 NA NA 1004 1019 1126 NA 1354 1389 NA 1901 2734
13 NA 20 NA 26 NA NA 45 50 NA NA 72 NA NA NA NA 156 NA NA 220 NA NA NA NA 391 NA NA 478 NA 536 586 NA NA 675 718 NA 793 825 838 NA NA NA NA 1155 NA NA 1427 NA NA NA
13 NA 17 NA 25 NA NA 46 54 NA NA 81 NA NA NA NA 142 NA NA 232 NA NA NA NA 364 NA NA 477 NA 529 565 NA NA 682 690 NA NA NA 850 NA NA NA NA 1100 NA NA 1455 NA NA NA
12 NA 20 NA 26 NA NA NA 51 NA NA 81 NA NA NA NA 150 NA NA NA NA NA NA NA 388 NA NA NA NA 528 567 NA NA 675 694 NA NA NA 842 NA NA NA NA 1091 NA NA NA NA NA NA
12 NA 19 NA 25 NA NA NA 49 NA NA 76 NA NA NA NA 147 NA NA NA NA NA NA NA NA NA NA NA NA 527 566 NA NA 664 NA NA NA NA 855 NA NA NA NA NA NA NA NA NA NA NA
11 NA 19 NA 29 NA NA NA 50 NA NA 77 NA NA NA NA 159 NA NA NA NA NA NA NA NA NA NA NA NA NA 576 NA NA NA NA NA NA NA 850 NA NA NA NA NA NA NA NA NA NA NA
11 NA 18 NA 25 NA NA NA 49 NA NA 76 NA NA NA NA 160 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA 17 NA 26 NA NA NA 51 NA NA 80 NA NA NA NA 147 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
13 NA NA NA 26 NA NA NA 50 NA NA 76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 27 NA NA NA 53 NA NA 80 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 27 NA NA NA 50 NA NA 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA 26 NA NA NA 53 NA NA 73 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 25 NA NA NA 53 NA NA 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 29 NA NA NA 48 NA NA 72 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA 25 NA NA NA 48 NA NA 77 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA 28 NA NA NA 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 25 NA NA NA 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA 28 NA NA NA 49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA 52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
